,stunted_correlation,stunted_p_vals,underweight_correlation,underweight_p_vals,wasting_correlation,wasting_p_vals,bmi_correlation,bmi_p_vals
tot_tyr_cons,-0.024145675393680968,0.5748542101363987,-0.0005841067258660096,0.9891652997712366,0.029012379219530843,0.5030939013705206,0.01659146207118217,0.7002066943019442
purch_tyr_cons,-0.030798005383303028,0.4742881214911234,-0.01841973255661546,0.668454229551619,0.018637919546104127,0.6671044446166134,0.007500040363317391,0.8618297489154624
own_tyr_cons,-0.010283113300726798,0.8112190504108325,0.08057522496232195,0.0606116582302739,0.08212419731916519,0.05765620848239065,0.08118893772385224,0.05913948225464882
gift_tyr_cons,0.04393323910449025,0.30728444304853086,0.04069486738149592,0.3438970455067971,0.001341702286837812,0.9753005695895114,-0.007246432510520314,0.866457346374861
tot_val_cons,-0.02171454392223469,0.6139618234724096,0.004256835671054078,0.921165124907013,0.0277749085938364,0.5214859456162209,0.01882323767033186,0.6622249397506643
purch_val_cons,-0.03001022421768081,0.4856720997460704,-0.01929392753754318,0.653720423419095,0.014923299400506866,0.7305539579173138,0.007080118367362786,0.8694945808679523
own_val_cons,-0.025259490973035422,0.5573383901425696,0.05103205265238077,0.23514852813038414,0.05749431558372582,0.1842324696607353,0.06792924256691371,0.1145282462947516
gift_val_cons,0.036179371421678534,0.400561574131979,0.04074578233514869,0.34329316768100515,0.00992292444766604,0.8188792448389501,-0.0009582319564926936,0.9822594136337794
tot_arg_cons,-0.010952222545088527,0.7991892673514036,-0.00880859306372102,0.8377346642561947,0.007856342597868356,0.8561356400262898,0.0009167795526436673,0.9830267401806138
purch_arg_cons,-0.016365875485001163,0.7038281245892657,-0.021523399048999466,0.6167595351414967,0.00013043527443071354,0.9975984348882599,-0.005144140686195557,0.9049792958952096
own_arg_cons,0.009202939703462098,0.8307322421502612,0.10884430896218825,0.011147881417931793,0.10573029912391153,0.014417471323823023,0.08667568075433114,0.043888351593079196
gift_arg_cons,0.06449807438020336,0.13370045660921911,0.03890811251906389,0.3655161488359031,-0.024195185887651464,0.5765650927257052,-0.024990102766048333,0.5619138713152935
tot_his_cons,-0.015244332409738496,0.7232617797252769,-0.005770637208159047,0.8932754982722797,0.013612794527099362,0.7534124713733634,0.006571926856677816,0.8787869089850253
purch_his_cons,-0.02123560363452256,0.6218019997779323,-0.02163695638483468,0.614901588217283,0.004280796105058441,0.921309803789717,-0.0011464543429214468,0.9787754404352377
own_his_cons,-0.014991242308939466,0.7276724777870708,0.07904516871956338,0.06568385498617696,0.0841158829497029,0.051834879013844135,0.08176665050063843,0.057350712310299666
gift_his_cons,0.04509988236487536,0.2946041365404012,0.04058407298749245,0.34521346020929,0.0008341344254064191,0.9846428980694276,-0.008475288684734761,0.8440797170798502
tot_calcium_cons,-0.051801447423511594,0.22858642568720544,0.041265972641899754,0.3371621900194193,0.10783535543889466,0.012571375365761311,0.05997251468606443,0.16363410281449411
purch_calcium_cons,-0.05519991375685307,0.19945185761695292,0.03560683764178968,0.4076286509763636,0.10692352654560058,0.013343739922117924,0.05817121738458416,0.1766817527241665
own_calcium_cons,0.010032080204940733,0.8157439819313158,0.05114205739682616,0.2341395475869305,0.03453652200224629,0.4253340335450887,0.03439036695612611,0.42470482052374803
gift_calcium_cons,0.02956459260025861,0.49217649668332253,0.036543910719264425,0.39539131354929624,-0.004212399832339071,0.922563097812466,0.003401526979577455,0.937084539439844
tot_p_cons,-0.04400998307262476,0.3064393984636986,0.01786936994507445,0.6777963380690534,0.07107069879574217,0.10056885846451834,0.04625600391979836,0.28283451167479895
purch_p_cons,-0.05909088981368647,0.16953073958252032,-0.020341207823250045,0.6362454424635644,0.04865914377495492,0.2612156988990709,0.024723517556158075,0.5660950502303757
own_p_cons,0.0035077072925477916,0.9350647831803572,0.09932408689906433,0.020619574854145974,0.10095649027625274,0.01951008230227276,0.08834146796936766,0.03997232658741857
gift_p_cons,0.04178391806034621,0.3315755843910636,0.025065650933903734,0.5600047881784211,-0.02036566770390949,0.6383505763060733,-0.017079333294442833,0.6918356186382693
tot_mg_cons,-0.03310097766067064,0.4418624761336939,0.04434691361675811,0.3022999025889167,0.08452241739384188,0.05070901437351299,0.06439028522507256,0.13471406382682974
purch_mg_cons,-0.07293314659859743,0.08983129122237223,-0.042268566242104094,0.325544947420067,0.03726043236165911,0.3897233412384421,0.018706969085414204,0.664183455026288
own_mg_cons,0.001394326025774433,0.9741640455703988,0.09523600570747914,0.02647613853238425,0.10172827273318563,0.01859326792926597,0.08751292820040696,0.04188149968800172
gift_mg_cons,0.03683199341384759,0.3921126052513303,0.018760872273098857,0.6626890530485028,-0.021672954630307405,0.6169461354579326,-0.017980118251118875,0.6764785122243957
tot_k_cons,-0.023429395287245663,0.5862538570281279,0.02989404480470478,0.48696012507637865,0.06282853148079949,0.1467065957681897,0.03503381662337815,0.41608581886995344
purch_k_cons,-0.035080008966343404,0.41503835965266533,0.0021836918828486997,0.959510412184076,0.046575312629299655,0.2822162681962829,0.02129610891478959,0.621133018194965
own_k_cons,0.009283614078176194,0.8292711094244234,0.10437527516975272,0.014964600947883735,0.10427895029019814,0.01582533127123283,0.081427601162094,0.05839498888528725
gift_k_cons,0.03945596484111706,0.35924408759039195,0.027576214619906052,0.5213719534869298,-0.016585910777049344,0.7018960515415966,-0.012917974435577162,0.7643434789630974
tot_na_cons,0.00474913529066976,0.9121639449692533,0.022817774260563892,0.5957294220617102,0.043830414693685156,0.3115784414959914,-0.013213751134552684,0.759112444975889
purch_na_cons,-0.007482122571403433,0.8620298959323787,0.008242451007450921,0.8480326654848719,0.03934785972032412,0.3636977190633848,-0.013596160876404499,0.7523655313060488
own_na_cons,0.022804213818813184,0.5962882876983303,0.12216081298805863,0.004361497467773015,0.10985224309248358,0.011001665092984132,0.0862812806124869,0.044861414299343996
gift_na_cons,0.04424835464710485,0.3038244383979212,0.034517809382927145,0.42212961064797383,-0.002935057701134814,0.946001013875266,-0.013795461543927755,0.7488566669783185
